site,kind,mutates,guard,handled,note
AtmosphericScattering.cs::ManagerUpdate,display,no,,,"The 8th switched site: if PAS.IsGlobalInteraction, sky scattering follows the live planet air (UpdateAtmosphericScatteringToGlobalAtmosphere). Fog fades to 0 at camera y=1000 (absolute)."
AtmosphericScattering.cs::UpdateAtmosphericScatteringToGlobalAtmosphere,display,no,,,"Reads ReadOnlyGlobal at grid zero, builds AtmosphericScatteringBlend, sets densities/ramps/skybox thickness; fog intensity scales with pressure/2 kPa clamped. Read only."
AtmosphericScatteringBlend.cs::(type),display,no,,,"Ctor compares read-only cell TotalMolesGases with world XML per-cell total (fallback 40 mol per cell: absolute but per-cell, so volume-invariant); maps sky density 0..1x below, 1x..10x above. Read only."
AtmosphericsWorker.cs::CacheDataTask,read,no,,,"UpdateCache on queued atmospheres; marks IsCachable unless IsGlobalAtmosphere. Flag only, no gas."
GlobalAtmosphereData.cs::(type),internal,no,,,"World XML schema: base temperature curve, solar radiation/GHG/density offsets, start gas per cell, Volume default 4e10 L. TotalMolesGasses() sums per-cell quantities."
GlobalAtmosphereData.cs::GetGHGTemperatureOffset,read,no,,,Evaluates GHG day/night curve at ghg index. Pure.
GlobalAtmosphereData.cs::GetSolarDistanceTemperatureOffset,read,no,,,Evaluates solar radiation day/night curve at solar energy percent. Pure.
GlobalAtmosphereLiquid.cs::(type),read,no,,,"Global sea state: RenderThreshold = 1.5e6 L * LiquidVolumeMultiplier evaluated ONCE at static init (tank null then => multiplier 1.0); heights 2..10 m, default -1000. Absolute litre threshold: at 0.05 volume the sea appears with 20x less liquid per cell."
GlobalAtmosphereLiquid.cs::IsUnderGlobalLiquid,read,no,,,pos.y < LiquidHeight and not in a room. Read only.
GlobalAtmosphereLiquid.cs::UpdateLiquid,read,no,,,"IsRendered = PAS.LiquidVolume > 1.5e6 L (absolute); LiquidHeight = lerp(2, 10, LiquidVolumeRatio = liquid L / tank Volume) (relative). Sea is derived from tank liquid; does not change it."
GlobalTemperatureCurveOffset.cs::(type),read,no,,,"Day/Night curve pair; day <70 deg, night >110 deg, eased between. Single-arg GetOffset throws NotImplementedException. Pure data."
GlobalTemperatureFloatOffset.cs::(type),read,no,,,"Day/Night float pair, linear blend 70..110 deg; the type behind WeatherEvent.TemperatureOffset. Pure data."
Networks/AtmosphericsNetwork.cs::ApplyPressureDamageToWeakest,read,no,,,Samples outdoor pressure at weakest pipe to compute burst damage. Read only.
Networks/AtmosphericsNetwork.cs::EvaluateStressClient,read,no,,,Client: samples outdoor pressure for Stressed flag. Read only; no null check.
Networks/AtmosphericsNetwork.cs::ScanStructuresAndEvaluate,read,no,,,Samples outdoor pressure at each pipe grid to set Stressed / find weakest member. Read only.
NewWorldSummary.cs::SetWorld,display,no,,,"New-world menu: builds a throwaway GlobalGasMix from XML to show temperature and pressure ranges (pressure = total moles over data volume, volume-invariant)."
Objects.Electrical/AdvancedComposter.cs::AtmosphericProcessing,gated,yes,CloneGlobalAtmosphere (line 422),,"Removes water from pipe; creates ExpelledGas from nothing (per-minute quantity/60*tick, absolute device rate) and Adds it to a real cloned outdoor cell. New matter enters the planet via the cell path; the clone debits the tank."
Objects.Electrical/FridgePowered.cs::(type),none,no,,,"L23 field declaration private Atmosphere _worldAtmosphere; private, only used in OnAtmosphericTick"
Objects.Electrical/FridgePowered.cs::InitInternalAtmosphere,read,no,,,"On build: reads sampled outdoor temperature (if above Armstrong) to set the fridge internal gas temperature, else 20 C. Creates 1.72 mol N2 internally from nothing (not planet). No null check on the sample."
Objects.Electrical/FridgePowered.cs::OnAtmosphericTick,bypass,yes,NONE,"accepted: heat only, no gas. Up to 1000 J a tick (2 kW) shed outdoors never reaches the planet's heat counter","Cooling: removes up to HeatTransferJoulesPerTick = 1000 J from internal gas and AddEnergy to the SAMPLED atmosphere (stored in field _worldAtmosphere). On the read-only copy the Mole.Energy setter ignores it: heat SINK, up to 1000 J/tick per fridge never reaches ExternalInputEnergyOffset. Energy only, no gas. Absolute rate. Heating branch adds energy to internal only. | closure pass: L65 _worldAtmosphere.GasMixture.AddEnergy(energy2) on an unguarded SampleGlobalAtmosphere: outdoors with no cell the rejected heat is silently dropped (Mole.Energy setter checks ReadOnly) and never reaches PAS.AddEnergy: a HEAT SINK, no gas. Formula cap HeatTransferJoulesPerTick = 1000 J/tick (absolute); in practice bounded by the small fridge internal atmosphere (1.72 mol N2, about 5 kJ one-off pull-down from 293 K to GoalTemperature 142 K), then only the box convective leak-in. Negligible at planet scale"
Objects.Electrical/LandingPadCenter.cs::OnAtmosphericTick,gated,yes,CloneGlobalAtmosphere (line 882) before Mix,,"Sample used only for pressure reads; when broken, Mixes landing pad network with a cloned real cell (All states). If network ~empty and sample null, resets network gas (destroys <0.001 kPa in the network, not planet)."
Objects.Electrical/LandingPadGasStorage.cs::OnAtmosphericTick,gated,yes,CloneGlobalAtmosphere (line 81) before Mix,,"Same pattern as LandingPadCenter: sample for pressure/damage reads, broken => Mix with cloned real cell. Reset below Chemistry.ResetThreshold destroys trace gas in the network only."
Objects.Electrical/LiquidDrain.cs::OnPreAtmosphere,gated,yes,CloneGlobalAtmosphere (line 74),,Moves MolesDrainedPerTick (All states) from pipe into a cloned real cell. Liquids to outdoor cell. Absolute device rate.
Objects.Items/Consumable.cs::Smelt,gated,yes,"if (localAtmosphere.IsGlobalAtmosphere) AtmosphericEventInstance.CloneGlobalRemoveEnergy (lines 154-156), else CreateRemoveEnergy on the real cell",,"Smelting removes heat (reagent heatCapacity * flash point) from the local air; on the read-only copy it queues an event that clones a real cell first, then RemoveEnergy. Energy only. | closure pass: L145 declaration. Heat removal from a cloned real cell, one unit per call"
Objects.Items/FilterMask.cs::OnAtmosphericTick,bypass,yes,NONE,accepted: one mask volume per wearer per tick,"Unguarded WorldAtmosphere: Adds exhaled internal gas to it (SINK on read-only copy), MoveToEqualize(WorldAtmosphere -> Internal, MaxValue, All) (free SOURCE: Remove returns moles, copy unchanged), then FilterGas moves filtered species from internal into WorldAtmosphere (SINK). Both source and sink; per wearer per tick about the mask internal volume equalised to outdoor pressure (small). Subclass of GasMask."
Objects.Items/PneumaticMiningDrill.cs::EjectInternalAtmosphere,gated,yes,if (WorldAtmosphere == null || WorldAtmosphere.Mode == AtmosphereMode.Global) WorldAtmosphere = CloneGlobalAtmosphere (lines 289-291),,Vents drill exhaust into a real cell; overwrites the cached WorldAtmosphere with the clone. Host only (clone throws on client).
Objects.Items/PneumaticMiningDrill.cs::PressureDifferential,read,no,,,Reads WorldAtmosphere pressure vs fuel tank pressure. Read only.
Objects.Pipes/OrganPipe.cs::OnAtmosphericTick,gated,yes,CloneGlobalAtmosphere (line 39),,"MoveToEqualizeBidirectional between pipe network and cloned real cell, gas only. Absolute constants: OrganPressureDelta 10 kPa, _pressurePerTick 20 kPa/tick. Stores the clone in _environment (a real cell)."
Objects.Pipes/PassiveLiquidDrain.cs::OnAtmosphericTick,gated,yes,CloneGlobalAtmosphere (line 26),,"DrainLiquids from pipe network to cloned real cell, up to min(PipeVolume, half the network liquid) per tick. Liquids."
Objects.RoboticArm/RoboticArmDockAtmos.cs::GetInputAtmos,none,no,,,"Private wrapper: docked vent pipe atmosphere else SampleGlobalAtmosphere at arm vent. All callers are GetLogicValue reads (pressure, temp, ratios, moles, combustion). | closure pass: L531 declaration: returns the docked vent pipe network atmosphere else an unguarded SampleGlobalAtmosphere at the arm vent; its callers are already in the ledger"
Objects.RoboticArm/RoboticArmDockAtmos.cs::GetLogicValue,read,no,,,logic readout of the input atmosphere
Objects.RoboticArm/RoboticArmDockAtmos.cs::HandleOverPressure,read,no,,,Samples outdoor pressure at arm vent vs internal for overpressure damage (MAXPressure 600 atm). No null check.
Objects.RoboticArm/RoboticArmDockAtmos.cs::HandleVentDirection,bypass,yes,NONE,"accepted: only when no pipe is docked, and then the gas can only fill or empty the dock's own small internal volume once; per tick it is the smaller of the 1 atm formula cap and that volume. A few moles, one-off. (A first reading took the formula cap, 330 mol a tick, for a flow: it is not)","When there is no DockedVent pipe network, the SAMPLED atmosphere is handed to PumpGasInward (targetAtmosphere.Remove => free SOURCE from read-only copy; with a filter the rejects are Added back => lost) and PumpGasOutward (targetAtmosphere.Add / FilterGas into it => SINK). Rate PressurePerTick = 1 atm per tick over an 8000 L cell (~330 mol/tick at 293 K), absolute. Both source and sink."
Objects.RoboticArm/RoboticArmDockAtmos.cs::VentArmAtmosphereToWorld,gated,yes,AtmosphericEventInstance.CloneGlobalAddGasMix (line 481) clones a real cell then Adds,,"Dumps the arm internal gas to a real cloned cell via queued event, then resets internal."
Objects.Rockets/CrewModule.cs::GetExitAtmosphere,gated,no,"CloneGlobalAtmosphere(_exteriorGrid, allowCrewModules:false) (line 154)",,"Returns a real cloned cell outside the hatch; caller OnAtmosphericTick Mixes cabin with it when open (gas, or All if submerged) and dumps cabin liquid. Returns a real cell, never the copy."
Objects.Rockets/CrewModule.cs::SamplePlasmaWorldAtmosphere,display,no,,,"Every 5 s reads PAS.GlobalPressure for re-entry plasma VFX density pow(P/100, 0.35)."
Objects.Rockets/CrewModuleActiveVent.cs::GetWorkingAtmosphere,gated,no,CloneGlobalAtmosphere (line 38),,Returns crew module internal atmosphere or a real cloned cell. Never the copy. (Base ActiveVent.GetWorkingAtmosphere also clones.)
Objects.Rockets/CrewModulePassiveVent.cs::GetWorkingAtmosphere,gated,no,CloneGlobalAtmosphere (line 30),,Returns crew module internal atmosphere or a real cloned cell. Never the copy.
Objects.Rockets/Rocket.cs::Explode,gated,yes,AtmosphericEventInstance.CloneGlobalAddGasMix (line 2451),,Creates methane+oxygen equal to rocket fuel at 1000 K from nothing and adds to a cloned real cell with spark. New matter and heat enter the planet via the cell path.
Objects.Structures/Geyser.cs::OnAtmosphericTick,gated,yes,CloneGlobalAtmosphere (line 115),,"Tapped geyser creates _expelledGasses (absolute moles/tick at set temperature) from nothing into the cloned cell above it while cell pressure < _maxPressureKpa (absolute). A designed SOURCE of new matter into the planet through a real cell; unbounded over time with the tank switched on, and 20x stronger per cell at 0.05 volume."
Objects.Structures/WaterDevice.cs::IsMinimumWorldPressure,read,no,,,"Sampled outdoor pressure >= MinimumWorldPressure 30 kPa (absolute, intensive) gates water devices."
Objects/WindTurbineGenerator.cs::GetWorldAtmospherePressure,read,no,,,Returns ReadonlyGlobalAtmosphere pressure (0 in a room) for turbine output; power scales with planet pressure
Rooms/RoomEvaluator.cs::ThreadedWork,gated,yes,CloneGlobalAtmosphere (line 142),,"When a room is sealed, every grid of it gets a cloned real cell (to set .Room): each newly created cell is filled from the tank (debit one cell's worth per room grid). Rooms start full of planet air."
Rooms/RoomHelper.cs::AddGridToRoom,gated,yes,"CloneGlobalAtmosphere (line 38), or GetAtmosphereLocal ?? new empty Atmosphere when createEmptyAtmosphere (line 35)",,Assigns room to a grid: clones a real cell from the planet unless createEmptyAtmosphere (then creates an EMPTY cell without touching the tank).
Sound/EnvironmentalAudioHandler.cs::HandleReverb,read,no,,,Reads player WorldAtmosphere.RatioOneAtmosphereClamped for reverb / has-atmosphere. Read only.
TerrainSystem/VoxelTerrain.cs::ApplyVoxelWorldEffects,gated,yes,AtmosphericEventInstance.CloneGlobal (line 1048) clones a real cell,,"VoxelAdd queues CloneGlobal with zero energy (creates a planet-filled cell, debits tank); VoxelRemove queues CreateEmpty (empty cell, which then refills from neighbours/planet). Then rechecks rooms and connections."
TraderShuttle.cs::ExplodeEffects,gated,yes,AtmosphericEventInstance.CloneGlobalAddGasMix (line 248),,Creates FuelExplosionMoles of methane/oxygen (2:1) at 1000 K from nothing into a cloned real cell with spark. New matter into planet via the cell path.
Trading/NetworkCondition.cs::Evaluate,read,no,,,Trader contract condition: checks ScannedAtmosphere.Mode == Network and its network type; read
Trading/ThingPrefabCondition.cs::Evaluate,read,no,,,Trader contract condition: compares ScannedAtmosphere.Thing.PrefabHash; read
Util.Commands/AtmosphereCommands.cs::Execute,display,no,,,'global' toggles PAS.DrawGlobalDebug overlay.
Util.Commands/VegetationCommand.cs::Execute,none,no,,,"Sets GlobalPlant.Count / toggles TerraForming.DrawDebug. Vegetation registry only, no gas or heat."
ValueRange.cs::(type),display,no,,,Ctor builds a throwaway tank from XML and sweeps GetGlobalGasMixTemperature over solar angle for the world-summary min/max temperature. Includes live latent/external offsets if a game is running.
WorldManager.cs::HasGravityAtHeight,read,no,,,height < PAS.SpaceHeight (1000 m absolute). Geometry only.
WorldManager.cs::InitializeWorldEnvironment,internal,yes,NONE (creates planet),,Calls PAS.CreateGlobalAtmosphere(world GlobalAtmosphereData) at world init (a later save Load overrides it).
WorldManager.cs::LoadGameDataAsync,none,no,,,TerraForming.Initialize(): registers plant prefabs as GlobalPlants. No gas or heat.
WorldSetting.cs::(type),read,no,,,"Forwarding properties SolarAngleTemperatureCurve and GlobalGasMixData from Data.GlobalAtmosphereData (static world composition, not the live tank)."
WorldSettingData.cs::(type),none,no,,,Field declaration: [XmlElement('GlobalAtmosphere')] GlobalAtmosphereData.
WorldSettingData.cs::Initialize,internal,no,,,GlobalAtmosphereData?.Init(): initialises curves from XML.
WorldSettingData.cs::IsValid,none,no,,,World is invalid if GlobalAtmosphereData == null. Null check only.
