site,client,reads,effect,evidence
Objects.Electrical/LiquidDrain.cs::OnPreAtmosphere,server-only,n/a,none,Thing.OnPreAtmosphere only via AtmosphericsManager.cs:216 <- ThingPreAtmosphere GameManager.cs:772 (RunSimulation)
Objects.Items/Consumable.cs::Smelt,server-only,n/a,none,"callers DynamicGasCanister.cs:327 and SolidFuelGenerator.cs:76 OnAtmosphericTick (server), DynamicThing.cs:1153 slot recursion, Recycler RunSimulation-gated (Recycler.cs:186/246); energy events themselves RunSimulation-gated AtmosphericEventInstance.cs:181/269"
Objects.Items/FilterMask.cs::OnAtmosphericTick,server-only,n/a,none,Thing.OnAtmosphericTick only via AtmosphericsManager.cs:95 <- ThingAtmosphereTick GameManager.cs:787 (if RunSimulation)
Objects.Items/PneumaticMiningDrill.cs::EjectInternalAtmosphere,server-only,n/a,none,only caller PneumaticMiningDrill.cs:271 OnAtmosphericTick; Thing.OnAtmosphericTick only via AtmosphericsManager.cs:95 <- ThingAtmosphereTick GameManager.cs:787 (if RunSimulation); CloneGlobalAtmosphere throws on client (AtmosphericsController.cs:291-294)
Objects.Items/PneumaticMiningDrill.cs::PressureDifferential,both,mixed,"client's drill availability (mining cursor, IsOperable) judged against shipped-planet outdoor pressure where no cell exists; host air ignored on the client",InventoryManager.cs:2193 IsAvailable (local player) -> PneumaticMiningDrill.cs:66 IsOperable -> :261-264 WorldAtmosphere (cached by OcclusionManager); also OnUsePrimary :141
Objects.Pipes/OrganPipe.cs::OnAtmosphericTick,server-only,n/a,none,Thing.OnAtmosphericTick only via AtmosphericsManager.cs:95 <- ThingAtmosphereTick GameManager.cs:787 (if RunSimulation)
Objects.Pipes/PassiveLiquidDrain.cs::OnAtmosphericTick,server-only,n/a,none,Thing.OnAtmosphericTick only via AtmosphericsManager.cs:95 <- ThingAtmosphereTick GameManager.cs:787 (if RunSimulation)
Objects.RoboticArm/RoboticArmDockAtmos.cs::GetLogicValue,both,mixed,"Configuration cartridge on a client shows an undocked arm's input pressure, temperature and ratios from the client's shipped planet where no cell exists (vent position set only by OnServerTick/OnFinishedLoad); PressureExternal/Internal are synced",ConfigCartridge.cs:71 <- :39 OnMainTick <- CartridgeManager.CartridgeTick GameManager.cs:802 (unguarded); RoboticArmDockAtmos.cs:537 GetInputAtmos SampleGlobalAtmosphere; synced fields :87/:645
Objects.RoboticArm/RoboticArmDockAtmos.cs::HandleOverPressure,server-only,n/a,none,only caller RoboticArmDockAtmos.cs:382 OnAtmosphericTick; Thing.OnAtmosphericTick only via AtmosphericsManager.cs:95 <- ThingAtmosphereTick GameManager.cs:787 (if RunSimulation)
Objects.RoboticArm/RoboticArmDockAtmos.cs::HandleVentDirection,server-only,n/a,none,only caller RoboticArmDockAtmos.cs:385 OnAtmosphericTick; Thing.OnAtmosphericTick only via AtmosphericsManager.cs:95 <- ThingAtmosphereTick GameManager.cs:787 (if RunSimulation)
Objects.RoboticArm/RoboticArmDockAtmos.cs::VentArmAtmosphereToWorld,both,none,none: on a client both events are dropped,client reaches it via OnDestroy RoboticArmDockAtmos.cs:197 (no sim guard); CloneGlobalAddGasMix and Reset RunSimulation-gated AtmosphericEventInstance.cs:261/245
Objects.Rockets/CrewModule.cs::GetExitAtmosphere,server-only,n/a,none,only caller CrewModule.cs:164 OnAtmosphericTick; Thing.OnAtmosphericTick only via AtmosphericsManager.cs:95 <- ThingAtmosphereTick GameManager.cs:787 (if RunSimulation); CloneGlobalAtmosphere throws on client (AtmosphericsController.cs:291-294)
Objects.Rockets/CrewModule.cs::SamplePlasmaWorldAtmosphere,both,own-planet,"launch/re-entry plasma effect intensity comes from the client's shipped planet pressure, not the host's",CrewModule.cs:201 Update -> UpdateLaunchPlasma :220 (local player seated) -> :328 PAS.GlobalPressure
Objects.Rockets/CrewModuleActiveVent.cs::GetWorkingAtmosphere,server-only,n/a,none,only caller ActiveVent.cs:391 OnAtmosphericTick; Thing.OnAtmosphericTick only via AtmosphericsManager.cs:95 <- ThingAtmosphereTick GameManager.cs:787 (if RunSimulation); CloneGlobalAtmosphere throws on client (AtmosphericsController.cs:291-294)
Objects.Rockets/CrewModulePassiveVent.cs::GetWorkingAtmosphere,unreachable,n/a,none,no caller: it is a 'new' method hiding non-virtual Pipe.GetWorkingAtmosphere (Pipe.cs:551); PassiveVent.cs:54 binds statically to Pipe's; no IWorkingAtmosphere.GetWorkingAtmosphere interface call exists (RocketNetwork.cs:711 calls only CacheWorkingAtmosphere); the Pipe path is server-only OnAtmosphericTick
Objects.Rockets/Rocket.cs::Explode,server-only,n/a,none,CrashLanding only under RunSimulation (Rocket.cs:2296-2307); PhysicsUpdate returns for clients at :1974-1980 before CheckForOverlap/SetRocketTargetPosition; RocketCollisionDetector.cs:25 and LaunchMount.cs:272 RunSimulation; gas event also gated AtmosphericEventInstance.cs:261
Objects.Structures/Geyser.cs::OnAtmosphericTick,server-only,n/a,none,Thing.OnAtmosphericTick only via AtmosphericsManager.cs:95 <- ThingAtmosphereTick GameManager.cs:787 (if RunSimulation)
Objects.Structures/WaterDevice.cs::IsMinimumWorldPressure,both,mixed,outdoor shower/toilet with no cell: 'minimum pressure' warning in the interaction tooltip judged against the client's shipped planet,"StructureShower.cs:214 HandleOpen and StructureToilet.cs:114 HandleUse (InteractWith, run for the tooltip on clients); WaterDevice.cs:68 SampleGlobalAtmosphere"
Objects/WindTurbineGenerator.cs::GetWorldAtmospherePressure,both,own-planet,client's wind turbine blade speed and sound follow shipped-planet pressure; real power (host) follows host air,OcclusionManager.cs:264 structure.OnThreadUpdate (unguarded) -> WindTurbineGenerator.cs:342 -> :143 -> :201 ReadonlyGlobalAtmosphere (AtmosphericsController.cs:105); used by UpdateEachFrame/UpdateAudio
Rooms/RoomEvaluator.cs::ThreadedWork,both,none,none: client rebuilds room topology only; clones no cells (RoomEvaluator.cs:139 RunSimulation); room cells arrive by sync,GameManager.cs:775 (unguarded game tick)
Rooms/RoomHelper.cs::AddGridToRoom,server-only,n/a,none,"only caller RoomHelper.cs:15 CreateRoom <- RoomRegenerator.cs:64 <- RegenerateRoomsCommand (Scope HostOrSinglePlayer, EnforceScope); CloneGlobalAtmosphere throws on client (AtmosphericsController.cs:291-294)"
Sound/EnvironmentalAudioHandler.cs::HandleReverb,both,mixed,"outdoors with no cell, the reverb and 'no atmosphere' muffling are judged from the client's shipped planet pressure",EnvironmentalAudioHandler.cs:242 SlowUpdate -> :262 -> :356 InventoryManager.Parent.WorldAtmosphere
TerrainSystem/VoxelTerrain.cs::ApplyVoxelWorldEffects,both,none,none: planet events dropped on client,client: FragmentHandler.cs:167 -> VoxelTerrain.cs:98 VoxelChangeEvent.Execute -> :75; CreateEmpty/CloneGlobal RunSimulation-gated AtmosphericEventInstance.cs:229/253
TraderShuttle.cs::ExplodeEffects,both,none,none: gas event dropped on client,TraderShuttle.cs:198 OnTriggerEnter has no sim guard; CloneGlobalAddGasMix RunSimulation-gated AtmosphericEventInstance.cs:261
Trading/NetworkCondition.cs::Evaluate,server-only,n/a,none,WorldObjective conditions <- HelperHintsManager.cs:296/300 <- OcclusionManager.cs:602 ServerTick (started only if RunSimulation :529-531); shipped XML uses <Network> only in WorldObjectives.xml and tutorials
Trading/ThingPrefabCondition.cs::Evaluate,server-only,n/a,none,WorldObjective conditions <- HelperHintsManager.cs:296/300 <- OcclusionManager.cs:602 ServerTick (RunSimulation :529-531); also XML-registrable in ConditionDataCollection.cs:24 but shipped XML uses <Prefab> only in WorldObjectives.xml and tutorials
Util.Commands/AtmosphereCommands.cs::Execute,both,own-planet,console 'atmosphere global' on a client opens a debug window of the client's own shipped tank,"AtmosphereCommands.cs:15 Scope InGame (no host restriction), :52; drawn ImGuiManager.cs:210 -> PAS.cs:324-329"
ValueRange.cs::(type),both,none,none (menu; throwaway tank from XML; latent/external offsets are 0 in GameState.None PAS.cs:300/309),NewWorldSummary.cs:59 (new-world menu)
WorldManager.cs::HasGravityAtHeight,both,none,none (geometry vs PAS.SpaceHeight),"MovementController.cs:252/375, Human.cs:1514 etc."
WorldManager.cs::InitializeWorldEnvironment,both,own-planet,on join the client builds its own planet from shipped data via CreateGlobalAtmosphere; the host's tank is never applied on an unmodded client,WorldManager.cs:1953 DeserializeOnJoin -> :1673
WorldSetting.cs::(type),both,none,none (static world XML),WorldSetting.cs:104/106 forwards to Data.GlobalAtmosphereData
WorldSettingData.cs::Initialize,both,none,none (XML curve init),"WorldSettingData.cs:269 at data load (WorldManager.cs:704, WorldSetting.cs:148)"
